,city,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,property_type,room_type,availability_365,host_identity_verified,host_is_superhost,cancellation_policy,price
3152,North Bondi,151.2836734,-33.88737039,100.0,3,6,0,0,2,1.0,1.0,1.0,House,Private room,0,0,0,moderate,45
4616,Castlecrag,151.2188925,-33.79897425,100.0,9,2,0,0,2,3.0,1.0,1.0,Bed and breakfast,Private room,324,1,0,moderate,94
9735,Bondi Beach,151.2702662,-33.88784427,93.41241287,0,5,0,50,2,2.0,1.0,1.0,House,Private room,83,0,0,flexible,200
583,Pyrmont,151.1973303,-33.87097714,95.0,41,3,600,250,6,3.0,3.0,5.0,Apartment,Entire home/apt,269,0,1,strict_14_with_grace_period,674
7672,Bondi,151.2675182,-33.89256189,87.0,3,3,129,0,2,1.5,1.0,1.0,Apartment,Private room,158,0,0,moderate,90
4666,Sydney,151.2044577,-33.86816124,81.0,19,1,199,74,4,1.0,1.0,2.0,Apartment,Entire home/apt,335,0,0,strict_14_with_grace_period,165
1545,Sydney Olympic Park,151.073426,-33.846734,98.0,95,1,0,69,6,2.0,2.0,2.0,Other,Entire home/apt,268,1,1,strict_14_with_grace_period,188
9935,Dulwich Hill,151.1418173,-33.91279599,100.0,2,1,0,0,2,1.0,1.0,1.0,Apartment,Entire home/apt,0,1,0,flexible,100
5415,Manly,151.2838012,-33.80759577,94.0,50,7,300,0,3,1.0,2.0,2.0,Apartment,Entire home/apt,20,1,0,strict_14_with_grace_period,250
4167,Glebe,151.1816519,-33.87969677,80.0,2,3,0,20,2,1.0,1.0,2.0,House,Private room,0,0,0,strict_14_with_grace_period,65
6627,Randwick,151.2528134,-33.90298991,93.41241287,1,4,200,30,2,1.0,1.0,1.0,Condominium,Private room,21,0,0,strict_14_with_grace_period,55
9187,Mosman,151.2461343,-33.81714762,93.41241287,0,7,0,100,5,2.5,3.0,3.0,Townhouse,Entire home/apt,0,0,0,strict_14_with_grace_period,349
2521,Dee Why,151.2973667,-33.75838866,97.0,7,3,0,85,3,1.0,2.0,2.0,Guest suite,Entire home/apt,0,0,1,moderate,117
9097,Queenscliff,151.286421,-33.78269519,93.41241287,0,14,1500,250,8,4.5,5.0,5.0,House,Entire home/apt,0,0,0,strict_14_with_grace_period,1000
2678,Leichhardt,151.1532317,-33.8838562,100.0,1,7,1000,150,6,2.0,3.0,4.0,House,Entire home/apt,83,0,0,strict_14_with_grace_period,337
9268,Chippendale,151.195698,-33.88803132,60.0,2,4,0,0,2,1.0,1.0,1.0,House,Private room,0,0,0,flexible,49
4096,Avalon Beach,151.3235264,-33.62419669,93.41241287,0,14,1000,150,7,2.5,3.0,4.0,House,Entire home/apt,358,0,0,moderate,451
1659,Cremorne,151.2235336,-33.83187517,95.0,8,2,0,75,2,1.0,1.0,1.0,Apartment,Private room,365,1,0,strict_14_with_grace_period,65
4037,Enmore,151.1736284,-33.90032445,93.41241287,0,5,0,0,4,2.5,4.0,4.0,House,Entire home/apt,0,0,0,moderate,50
3957,Surry Hills,151.2116388,-33.88180105,100.0,2,5,0,50,2,2.0,3.0,1.0,Apartment,Private room,23,0,0,moderate,67
